Date,spx
1998-02-27,0.06755932106695982
1998-03-31,0.046699926147376385
1998-04-30,0.006141289641831804
1998-05-29,-0.021577000783112088
1998-06-30,0.036256892872023716
1998-07-31,-0.014641718288840087
1998-08-31,-0.14827772497623892
1998-09-30,0.05953003330224549
1998-10-30,0.07767901183637571
1998-11-30,0.0565159252367553
1998-12-31,0.053527016100833436
1999-01-29,0.0386159406729647
1999-02-26,-0.03457310143371084
1999-03-31,0.03582828926616388
1999-04-30,0.035335858410101784
1999-05-31,-0.027431526801600103
1999-06-30,0.05147490594736559
1999-07-30,-0.034646417872496005
1999-08-31,-0.009152356113824369
1999-09-30,-0.03123223121237506
1999-10-29,0.059506427110494135
1999-11-30,0.016015601849578287
1999-12-31,0.05445317233573976
2000-01-31,-0.053747406245305614
2000-02-29,-0.02317202474566038
